symbol,date,volume_ratio_5d,volume_spike,volume_trend_10d,relative_volume,volume_acceleration,dark_pool_ratio,rsi_14,macd_signal,macd_histogram,bollinger_position,stochastic_k,adx_14,atr_14,ema_20_distance,sma_50_distance,williams_r,price_momentum_5d,price_momentum_10d,price_momentum_20d,price_acceleration,gap_percent,intraday_volatility,overnight_return,week_high_distance,put_call_ratio,put_call_ratio_change,unusual_options_activity,options_iv_rank,gamma_exposure,max_pain_distance,options_volume_ratio,institutional_net_flow,block_trade_volume,insider_buying_ratio,ownership_change_30d,news_sentiment_delta,social_momentum,analyst_target_distance,earnings_surprise_impact,sector_momentum_5d,spy_momentum_5d,vix_level,correlation_to_spy_20d,finbert_positive,finbert_neutral,finbert_negative,label
CRM,2024-11-15,0.820182051969917,0,342472.1212121212,1.322175092666896,1717622.1212121216,0,69.28356289552946,2.4164237226040104,2.4164237226040104,0.7347311092407287,60.209127680799575,25,9.381068559888709,0.0432840060551924,0.1350393498331011,-39.790872319200425,0.0102811451179676,0.1036237918627664,0.1103298762590652,-0.0933426467447988,-0.0142318534921646,0.0185973059249824,-0.0142318534921646,0.0676488180162198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.2372900545597076,0.1914648860692978,0.5712450742721558,UP
SYK,2024-08-15,1.3524907510969628,0,-148836.3636363636,0.7710772456797049,-255166.36363636347,0,52.08265735179099,0.895873895258473,0.895873895258473,0.6219968510544321,81.56003587320643,25,8.250833756201063,0.0123029806179022,-0.0056845642956543,-18.439964126793573,0.0250928457351553,0.0030014674314242,0.0088760974689798,0.022091378303731,0.0048095182726311,0.0133720271539618,0.0048095182726311,0.0710732340450918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.2078783959150314,0.028670959174633,0.7634506821632385,UP
XOM,2024-11-15,1.338578970517355,0,152195.75757575763,1.405799716134964,-1371104.242424242,0,55.11513280348434,0.1651532225942629,0.1651532225942629,0.6109167514604701,67.77829450505726,25,2.2404247226343537,0.0027755653254923,0.0149475584820724,-32.22170549494274,-0.0067674730489705,0.0464584021761966,0.0023364002717598,-0.0532258752251671,-0.001327039286931,0.0175249217907861,-0.001327039286931,0.0478835555373226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0326964221894741,0.9556065797805786,0.0116970082744956,NEUTRAL
EOG,2023-03-15,1.3451291496265183,0,74245.45454545437,1.398793051783176,-331944.54545454524,0,26.09515301136318,-1.1003324383596538,-1.1003324383596538,-0.1101792510938316,6.234067273998821,25,4.129547275839753,-0.1205766648831638,-0.1759351218745294,-93.76593272600118,-0.1307994763880571,-0.1321252872462691,-0.230692487138826,0.001325810858212,-0.0372457768190442,0.0538542834689614,-0.0372457768190442,0.3087410783233296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.025384971871972,0.96240234375,0.0122126247733831,UP
MA,2023-03-15,1.0011562045312823,0,130904.84848484844,1.2422525448727766,-26365.151515151418,0,43.25792377659849,-0.8973454432757055,-0.8973454432757055,0.1734406494685738,27.19424509674031,25,7.2657128536469076,-0.0241685369133092,-0.0473272984610919,-72.80575490325968,-0.0304987369892991,-0.0153324256510249,-0.059141471652868,-0.0151663113382741,-0.0191883234754366,0.0137551781995571,-0.0191883234754366,0.1074872743084661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0260246749967336,0.9607316255569458,0.0132437022402882,NEUTRAL
ISRG,2024-03-15,1.989894668215064,1,98913.33333333328,2.447823662462485,-358636.6666666664,0,54.97330989849197,-1.009462532313691,-1.009462532313691,0.8433927809270844,74.54544403664423,25,9.287144252232142,0.0243860085053583,0.0512141936021072,-25.45455596335578,0.011305327566107,-0.0040713625082612,0.0423757392286407,0.0153766900743682,0.0360386307707334,0.0390044169089271,0.0360386307707334,0.0166749409943005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.6055911779403687,0.1272614449262619,0.2671473324298858,NEUTRAL
ISRG,2023-08-15,1.2200930841393354,0,-99139.99999999996,0.6393849100016434,-113369.9999999998,0,18.878290550334313,-1.7254263830114684,-1.7254263830114684,0.2797890098145122,25.88328419813785,25,6.245710100446429,-0.0301841378756872,-0.0597212961545653,-74.11671580186216,0.0123815500394783,-0.0534959606013795,-0.1361113418293832,0.0658775106408579,0.0033106392096479,0.0208108569159369,0.0033106392096479,0.1436870197297625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.2667247653007507,0.4193977415561676,0.3138774931430816,DOWN
XOM,2023-06-15,1.1150706811896214,0,367369.69696969655,1.1372249261288505,-678700.3030303026,0,50.771279627041494,0.2274475771752014,0.2274475771752014,0.511258010640908,58.75637554085559,25,2.3233058688705017,-0.0039954563175679,-0.0306083371856486,-41.24362445914441,-0.0212589235552578,0.024477627807663,0.0102080737327245,-0.0457365513629208,0.0032331611400182,0.0150710553354561,0.0032331611400182,0.1093325328745748,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0260617565363645,0.9598755836486816,0.0140626151114702,NEUTRAL
NKE,2024-07-15,1.0820312133803176,0,-1790561.2121212126,0.9005300460953936,-571551.2121212115,0,8.742776715622995,-1.0959381831201649,-1.0959381831201649,0.2175088835101633,0.2651503570574493,25,2.9301926090893056,-0.1155891837787282,-0.2009593230802224,-99.73484964294256,-0.023819223415014,-0.0538676113255548,-0.242832868673243,0.0300483879105407,-0.0057203762077494,0.0242466338693278,-0.0057203762077494,0.4177450531693774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0357608720660209,0.949283242225647,0.0149559425190091,NEUTRAL
ORCL,2023-06-15,0.9500250327777257,0,3350309.090909091,1.8885206014712024,1656119.0909090908,0,91.87366775090538,1.7873767381135872,1.7873767381135872,1.1387065227355997,95.78903366951457,25,3.4600505938227957,0.1567717863974862,0.25924798003897,-4.210966330485426,0.1774281572987177,0.1939806470009479,0.2684175474898611,-0.0165524897022302,-0.0026171030585949,0.0482164608492244,-0.0026171030585949,0.0077622538549707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1139025539159774,0.0239786971360445,0.8621187806129456,DOWN
BDX,2024-11-15,1.139073998956945,0,-38559.99999999997,1.249578854356712,-307169.9999999999,0,34.19118173461585,-1.0744057662544673,-1.0744057662544673,-0.0193427392256781,7.965404157201874,25,5.474702378981623,-0.0360325695618185,-0.0472131754477201,-92.03459584279813,-0.0280175986531399,-0.0428923542313438,-0.0763076202168133,0.0148747555782039,-0.000748254990387,0.0212334452221572,-0.000748254990387,0.0880465037059375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.024571081623435,0.96277916431427,0.0126498267054557,NEUTRAL
LOW,2023-11-15,0.89607595175629,0,139971.51515151514,1.040825498671792,38861.5151515153,0,79.88719257303434,2.1275665229209166,2.1275665229209166,1.101957574992709,94.22372573758297,25,4.141971873734191,0.0484375120883764,0.0126956955257726,-5.776274262417032,0.0522397328518744,0.0708871203623449,0.0650947188125776,-0.0186473875104704,0.0009889833563027,0.0189191947483957,0.0009889833563027,0.1313470017440754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.270993560552597,0.041302315890789,0.6877041459083557,DOWN
C,2023-09-15,1.048342954729567,0,1457098.1818181823,1.356253061176318,-323511.8181818179,0,64.10750762976895,0.3306963028852501,0.3306963028852501,0.9315634781238812,76.89881204020426,25,0.7033437852161286,0.0142826795929098,-0.0297824301321287,-23.101187959795737,0.0522296631873189,0.0343909889372955,0.0058878994177198,0.0178386742500233,-0.0090402793874026,0.0135672942936769,-0.0090402793874026,0.1713320856162768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.2945217490196228,0.0366447530686855,0.6688334941864014,DOWN
AMGN,2023-11-15,1.2974516084110848,0,-43553.33333333335,1.1079048861019394,-148313.33333333334,0,52.87897363548982,0.1142848701859668,0.1142848701859668,0.6491405258876762,92.3961514434929,25,6.011423321157655,0.0127326916209108,0.014315580352246,-7.60384855650711,-0.0008415892257557,0.0467336791064962,-0.0372027655428899,-0.047575268332252,0.000962821332723,0.0169823751613921,0.000962821332723,0.0534909176597983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0245394445955753,0.962531328201294,0.0129291908815503,DOWN
LLY,2023-06-15,1.0524789927567575,0,975.757575757655,0.8488409207313,285.75757575750856,0,78.37948324447325,-0.40967686877228,-0.40967686877228,0.9440518288415628,92.3233101171337,25,7.97200796578386,0.0361568839856985,0.096954287358091,-7.676689882866302,0.0185566538085946,0.0399551340151318,0.0376254383983598,-0.0213984802065372,0.0006253385349138,0.019843714577811,0.0006253385349138,0.0058040080038964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1446921527385711,0.7109191417694092,0.1443886905908584,UP
BA,2024-10-15,1.0140154713196083,0,803146.0606060605,1.202444958222961,1206386.0606060617,0,50.16783468047586,0.3206741107483495,0.3206741107483495,0.4313264396620473,49.686080715941976,25,4.266427176339286,-0.0095061754607701,-0.0573077335190078,-50.313919284058024,-0.0148722139265538,-0.0121255031927497,-0.0258328109335629,-0.002746710733804,0.0101348711400995,0.0358803581161752,0.0101348711400995,0.4305524361305574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0269922651350498,0.963230848312378,0.0097768604755401,NEUTRAL
CAT,2023-03-15,1.221470667023841,0,344095.15151515143,1.7384936042041317,-45224.84848484828,0,34.54351705999245,-2.869855280801675,-2.869855280801675,-0.0618012098834947,10.874071863119593,25,7.129177722870196,-0.0905045481683593,-0.1186905095497664,-89.1259281368804,-0.1264877128601881,-0.1263120309734422,-0.1109020725989122,-0.0001756818867458,-0.0277839176735807,0.0392433253923643,-0.0277839176735807,0.1833559908898625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0258338321000337,0.9632965326309204,0.010869612917304,NEUTRAL
EOG,2024-10-15,1.4770519061642329,0,-84223.03030303026,0.911245345980936,-233753.03030303016,0,54.66075463897717,0.1522326383184185,0.1522326383184185,0.4548867346007414,47.307734273820266,25,3.0727434510723293,-0.0089914202751444,0.0099792444804531,-52.69226572617974,-0.0237017489605052,0.0025205494337554,0.0332007654157664,-0.0262222983942607,-0.0269262220458888,0.0161807810465158,-0.0269262220458888,0.0761457394072411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0450205765664577,0.9410024881362916,0.0139769595116376,NEUTRAL
